Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
044022,CONWAY BEHAVIORAL HEALTH,2255 STURGIS ROAD,CONWAY,AR,72034,FAULKNER,(501) 205-0011,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
054154,SAN JOSE BEHAVIORAL HEALTH,455 SILICON VALLEY BOULEVARD,SAN JOSE,CA,95138,SANTA CLARA,(669) 234-5959,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-121.77291599999998 37.246742)
121300,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,WAIMEA,HI,96796,KAUAI,(808) 338-9431,Critical Access Hospitals,Government - State,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Same as the national average,,Same as the national average,,Not Available,16,POINT (-159.67005500000002 21.960079)
141328,HARDIN COUNTY GENERAL HOSPITAL & CLINIC,FERRELL ROAD,ROSICLARE,IL,62982,HARDIN,(618) 285-6634,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Below the national average,,Not Available,16,Not Available,16,Not Available,5,Not Available,5,
154060,"PARK CENTER, INC",1909 CAREW STREET,FORT WAYNE,IN,46805,ALLEN,(260) 481-2700,Psychiatric,Voluntary non-profit - Private,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-85.108024 41.093791)
214002,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,21613,DORCHESTER,(410) 221-2525,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
234025,CARO CENTER,"2000 CHAMBERS, BOX A",CARO,MI,48723,TUSCOLA,(989) 673-3191,Psychiatric,Government - State,Yes,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
240206,RED LAKE HOSPITAL A,PO BOX 497,REDLAKE,MN,56671,BELTRAMI,(218) 679-3912,Acute Care Hospitals,Government - Federal,No,,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
244011,COMMUNITY BEHAVIORAL HEALTH HOSPITAL ANNANDALE,400 ANNANDALE BOULEVARD,ANNANDALE,MN,55302,WRIGHT,(651) 259-3850,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-94.101386 45.254576)
304001,HAMPSTEAD HOSPITAL,218 EAST ROAD,HAMPSTEAD,NH,03841,ROCKINGHAM,(603) 329-5311,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-71.154678 42.869242)
334045,ELMIRA PSYCH CENTER,WASHINGTON ST,ELMIRA,NY,14901,CHEMUNG,(607) 737-4739,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,
340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,NC,27609,WAKE,(919) 954-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,POINT (-78.619549 35.828998)
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719,SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal,Yes,,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16,
354005,RED RIVER BEHAVIORAL HEALTH SYSTEM,1451 44TH AVENUE S,GRAND FORKS,ND,58201,GRAND FORKS,(701) 772-2500,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-97.048158 47.878436)
390322,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL,3300 TILLMAN DRIVE,BENSALEM,PA,19020,BUCKS,(215) 244-7400,Acute Care Hospitals,Proprietary,No,Y,Not Available,16,Not Available,16,Not Available,5,Not Available,5,Above the national average,,Not Available,5,Not Available,16,Not Available,16,POINT (-74.962093 40.11435)
450775,KINGWOOD MEDICAL CENTER,22999 US HWY 59,KINGWOOD,TX,77325,HARRIS,(281) 359-7500,Acute Care Hospitals,Proprietary,Yes,Y,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,
471300,GRACE COTTAGE HOSPITAL,PO BOX 216,TOWNSHEND,VT,05353,WINDHAM,(802) 365-7920,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,5,Not Available,5,Not Available,5,Not Available,16,Not Available,5,Same as the national average,,Not Available,5,
210027,WESTERN MARYLAND REGIONAL MEDICAL CENTER,12500 WILLOWBROOK ROAD,CUMBERLAND,MD,21502,ALLEGANY,(240) 964-8001,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,POINT (-78.732777 39.650091)
054055,COLLEGE HOSPITAL,10802 COLLEGE PL,CERRITOS,CA,90703,LOS ANGELES,(562) 924-9581,Psychiatric,Proprietary,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-118.10292 33.88484)
100109,ADVENTHEALTH SEBRING,4200 SUN N LAKE BLVD,SEBRING,FL,33871,HIGHLANDS,(863) 314-4466,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,POINT (-81.506881 27.538455)
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,16,Not Available,5,Same as the national average,,Not Available,16,POINT (-88.296081 32.491825)
214018,SPRING GROVE HOSPITAL CENTER,55 WADE AVENUE,CATONSVILLE,MD,21228,BALTIMORE,(410) 402-7455,Psychiatric,Government - State,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-76.724165 39.267698)
310016,CAREPOINT HEALTH-CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,07306,HUDSON,(201) 795-8200,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,POINT (-74.05014200000001 40.734876)
140148,MEMORIAL MEDICAL CENTER,701 N FIRST ST,SPRINGFIELD,IL,62702,SANGAMON,(217) 788-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,POINT (-89.654586 39.808778)
161336,HEGG MEMORIAL HEALTH CENTER,1202 21ST AVENUE,ROCK VALLEY,IA,51247,SIOUX,(712) 476-8000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Same as the national average,,POINT (-96.285086 43.201693)
104080,CORAL SHORES BEHAVIORAL HEALTH,5995 SE COMMUNITY DRIVE,STUART,FL,34997,MARTIN,(727) 424-3427,Psychiatric,Voluntary non-profit - Other,No,,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,Not Available,19,POINT (-80.221617 27.132067)
271328,MARIAS MEDICAL CENTER,640 PARK AVE,SHELBY,MT,59474,TOOLE,(406) 434-3200,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,16,Not Available,16,Not Available,16,Not Available,5,Not Available,16,Not Available,5,Not Available,5,Not Available,16,POINT (-111.850493 48.509604)
251313,BAPTIST MEDICAL CENTER-YAZOO,823 GRAND AVENUE,YAZOO CITY,MS,39194,YAZOO,(662) 746-2261,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,,Same as the national average,,Not Available,16,Same as the national average,,Not Available,16,Not Available,5,Above the national average,,Same as the national average,,POINT (-90.403321 32.85873)
381325,GOOD SHEPHERD MEDICAL CENTER,610 NW 11TH STREET,HERMISTON,OR,97838,UMATILLA,(541) 667-3400,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,16,Same as the national average,,Same as the national average,,Same as the national average,,POINT (-119.31095 45.846135)
